32785: n#6418901;n#6420678;n#6418693;
60503: a#961392;a#1740207;s#959244;
60521: n#14457041;n#14045507;n#1897667;
60523: v#1054694;n#7384614;n#12393269;
60524: n#7384614;v#1054694;n#13903738;
60525: v#1054694;n#7384614;v#1045719;
60533: n#923444;n#8065234;n#4865114;
60534: n#923444;n#8065234;n#5853100;
60537: n#5985999;n#23271;n#9763784;
60542: n#13244109;n#4916342;n#5849040;
60543: n#13244109;n#8513718;n#4012260;
60544: n#5849040;n#8513718;n#13244109;
60545: n#5849040;n#4916342;n#8513718;
60547: n#13244109;n#4916342;n#5849040;
60601: n#13928388;n#31921;n#13780719;
60604: n#10235549;n#31921;n#10236304;
60605: s#1554230;r#146594;r#121135;
60607: s#2403505;a#1447302;s#17186;
60610: n#4192698;n#4192858;n#13676108;
60611: n#4192858;n#4192698;n#1903756;
60614: n#4192858;n#4192698;n#1903756;
60617: v#1130169;n#1903756;v#1128193;
60620: n#7262108;n#5981230;n#5980875;
60621: v#1150559;n#5981230;n#7262108;
60627: s#193799;v#1009240;v#720961;
60628: s#193799;v#1009240;v#720961;
60630: n#7433145;n#13878112;n#342755;
60639: v#2467662;v#1556921;v#2031158;
60640: v#2467662;v#1556921;v#2031158;
60641: v#2467662;v#2031158;v#642098;
60642: v#2467662;n#8679369;v#2031158;
60644: n#1463259;n#8591680;n#13927383;
60653: n#10154871;n#10155222;n#10154601;
60656: n#2739668;n#1902750;n#2862048;
60658: n#2739668;n#1902750;v#2341684;
60660: n#14539826;n#13344804;n#13345286;
60662: s#910101;n#3365991;n#5093890;
60663: s#911091;n#5093890;v#1152214;
60665: n#5093890;n#13939892;s#911091;
60666: n#3658858;n#13939892;n#14428160;
60667: n#14428160;n#13939892;n#5093890;
60668: n#14428160;n#5093890;n#13939892;
60669: n#13939892;n#14428160;n#5093890;
60671: n#3365991;n#5093890;n#13939892;
60672: v#1307142;n#5093890;s#892243;
60673: v#1307142;v#1661804;n#3536348;
60675: v#1152896;v#1512465;v#1067664;
60678: v#361495;v#1373303;n#11458314;
60682: v#2220461;v#2232190;v#2012344;
60683: n#201671;n#1107932;n#315986;
60684: n#315986;n#201671;n#5756203;
60685: n#201671;n#315986;n#1107932;
60686: n#1107932;n#201671;n#6247181;
60687: n#5554405;n#3853291;n#5198928;
60689: s#2023661;a#2022953;a#988232;
60691: r#149510;r#37226;r#31899;
60692: r#37226;r#149510;r#38013;
60693: r#37226;r#149510;r#31899;
60694: n#7491981;n#7555014;n#7529377;
60696: n#15180304;n#2707036;n#9606873;
60697: n#5826469;n#155298;n#7200813;
60698: n#2919414;n#3962685;r#387983;
60706: n#9359471;n#3978966;n#13751533;
60708: n#9367991;n#14449126;n#23773;
60709: v#1188725;v#1189113;v#2627934;
60710: v#1188725;v#2627934;v#1189113;
60711: v#1188725;v#2627934;v#1189113;
60715: n#8008335;n#5726596;n#237078;
60717: n#6376572;n#7072434;v#2294436;
60721: n#4476259;n#4131929;n#9453008;
60723: n#4476259;n#2789487;n#6844903;
60726: a#546646;s#548316;s#547317;
60733: n#3582658;n#940412;n#5633385;
60740: n#5715864;n#5844282;v#2191766;
60747: n#3612814;n#2939185;n#2863750;
60751: n#5124057;n#8512736;n#8592656;
60752: n#13758556;n#5124057;n#8512736;
60754: n#2811468;n#9844356;n#2764044;
60757: v#394813;v#1462005;v#1418667;
60758: v#394813;v#1418667;n#380083;
60759: v#394813;v#1418667;v#1462005;
60765: n#10389398;n#10388924;n#10458519;
60766: n#4021798;n#5388805;v#1853069;
60770: v#1853310;v#1225684;n#4021798;
60775: v#2344381;n#1219551;v#2249741;
60778: v#2575723;n#99951;v#2575082;
60779: n#171249;n#99951;n#4474466;
60780: n#99951;n#171249;
60783: n#11463895;n#14483917;n#43195;
60786: n#8306047;n#14431738;n#8306194;
60792: n#9315159;n#9314964;n#9536584;
60793: n#5521514;n#9982873;n#13310727;
60817: v#813044;v#950431;v#2130300;
60818: v#813044;v#2166460;v#690614;
60819: v#690614;v#2133185;v#689344;
60829: n#5939636;n#5896059;n#5896733;
60830: n#5939636;n#5896059;n#5896733;
60838: n#14376188;v#983333;n#7525057;
60839: n#7085375;n#14435187;n#14410089;
60847: n#13803158;a#31974;a#38750;
60853: n#7379223;n#112828;v#2185861;
60856: n#112828;v#1055146;n#7379223;
60858: v#1242208;v#1893771;n#112828;
60860: n#112828;v#591755;v#2185861;
60861: v#1242208;v#1893771;n#112828;
60863: n#2472987;n#4726938;n#4829182;
60864: n#2472987;n#4726938;n#4829182;
60865: n#4726938;n#2472987;n#4829182;
60868: n#11511523;n#9442341;n#13773539;
60873: a#231252;a#232068;n#5144453;
60874: n#7816164;n#12860365;n#1349948;
60875: n#7816164;n#12860365;n#1349948;
60900: n#2115641;n#9886220;n#13939353;
60901: n#10291240;n#10324560;n#3717921;
60932: n#11949402;n#11995092;n#7901176;
60933: n#11949402;n#7934152;n#11995092;
60936: n#5706954;n#13524399;n#14423614;
60977: n#4303497;n#3043173;n#4095577;
60980: n#14437386;n#14438898;n#14438125;
60984: n#4980008;n#5713737;n#5714466;
60992: n#10692696;n#10803463;n#10134870;
60993: n#2172182;n#2164464;n#2172518;
60994: v#233335;v#2711114;v#235368;
60995: n#2812949;v#1231980;n#4565375;
60996: n#3802007;n#3408264;n#3729482;
60997: n#3360845;n#3407122;n#3915320;
60999: n#3407122;n#3360845;n#182571;
61006: n#10172080;s#1479181;s#1542629;
61007: n#10172080;s#1479181;s#1542629;
61014: n#5621439;n#4892084;n#5708207;
61016: n#15185996;n#13669006;n#4565375;
61017: n#1441117;n#1441272;n#2542017;
61019: n#3440682;n#544441;n#3017168;
61037: s#1476516;a#1484987;a#1484083;
61039: a#2926188;a#1469677;a#1470813;
61040: a#2926188;a#1469677;a#1470813;
61041: a#2926188;a#1469677;a#1470813;
61042: a#2926188;a#169955;a#1469677;
61064: n#13262663;n#13262462;n#2152881;
61067: n#5385534;n#7849733;n#15248564;
61068: n#9278997;s#1855348;s#1617410;
61071: n#899049;n#5666700;n#3777283;
61072: n#10040344;s#1392249;n#9541125;
61073: n#10040344;s#1392249;n#9541125;
61075: n#9541125;n#10040344;v#2452614;
61076: n#9541125;v#2452614;n#10040344;
61083: v#1571354;r#107987;n#13831176;
61085: s#799401;r#47392;a#1718158;
61093: n#3112869;v#49669;n#3387323;
61094: n#10146002;n#10146104;n#10141732;
61100: s#696335;s#1614127;s#1613839;
61101: n#411384;n#1202904;n#1205156;
61104: n#9984659;
61112: n#2879087;n#4980463;n#7882886;
61117: v#724832;v#725274;v#2596493;
61120: n#9983572;n#9927451;n#10587605;
61121: s#424787;n#10528969;n#3455033;
61133: n#2175916;n#2172182;n#2175791;
61135: n#14774228;n#5404728;n#2472987;
61138: n#5025935;n#5025935;a#610532;
61139: n#7517737;n#7548978;n#14406573;
61143: s#1050890;s#107384;s#904745;
61145: n#14676042;n#3458271;n#3485309;
61147: n#14668539;n#14631295;n#1915811;
61153: n#6741305;n#5821102;n#6633363;
61161: n#7997703;n#5838765;n#7939638;
61162: n#5838765;n#7997703;n#8239808;
61164: v#26385;v#441212;v#2602212;
61165: n#1064148;v#2602212;v#2601996;
61168: n#1064148;v#2602212;v#2601996;
61170: n#7167415;n#521562;n#6891022;
61171: n#5175904;n#1061945;n#7192129;
61172: n#6729499;n#7203126;n#6725877;
61173: n#1061945;n#5175904;v#756076;
61174: v#2275365;v#756076;v#1018352;
61175: n#1061945;v#1016002;v#1011031;
61176: v#2275365;n#1061945;v#1018352;
61179: v#2118933;v#1020005;v#2154508;
61181: n#892861;n#7240549;n#6713930;
61184: n#1201271;v#2490634;v#2430580;
61185: v#2490634;v#2430580;n#1201271;
61186: v#2490634;v#2430580;n#1201271;
61188: v#2490634;v#2430580;n#1201271;
61191: n#8630985;n#5221895;n#8630039;
61193: v#2409412;v#2208537;v#2460619;
61194: n#13581067;n#5122557;n#15152062;
61196: n#7966570;n#5122850;n#15152261;
61206: a#1800349;a#1807219;a#89051;
61207: a#642379;a#641158;s#1947741;
61208: s#1375831;s#579622;s#1984411;
61210: n#11947802;n#12475242;n#2779435;
61217: n#9967555;n#13058447;n#9736035;
61219: v#1129876;
61223: n#9612848;v#1157517;n#10741590;
61226: n#317207;n#7320622;n#1108753;
61229: n#13461162;n#1061333;n#6513366;
61230: n#7191279;n#5892651;n#1061333;
61231: v#754942;v#2627934;v#1017826;
61234: n#6685456;n#6686174;n#13353004;
61235: n#6685456;v#890100;n#13353004;
61236: v#891936;v#662589;v#890100;
61237: n#6685456;n#6686174;v#891936;
61238: v#662589;v#891936;n#6685456;
61245: s#1012990;s#2342899;n#15229784;
61247: n#13272059;n#13273154;s#1012990;
61249: n#13272059;s#1012990;n#15229784;
61251: n#13594005;a#3012209;v#1365355;
61253: v#408624;v#454018;v#1612084;
61254: n#13272059;n#13273154;v#1664172;
61255: n#6520944;n#6737394;n#491366;
61256: n#6520944;v#240571;v#87736;
61259: v#87736;n#6520944;v#365188;
61260: v#87736;n#6520944;v#1387786;
61261: r#160834;r#260532;r#318303;
61267: n#1111952;n#3306207;v#2346409;
61268: n#3306207;n#1111952;v#1379097;
61270: v#2346409;n#3306207;n#1111952;
61274: n#5199286;n#5199869;n#5644527;
61276: n#14589223;n#6743506;n#5661668;
61279: n#8401554;n#1096454;n#1096873;
61281: r#144722;a#336831;a#340239;
61283: n#13980845;n#7181935;n#958896;
61284: n#4714679;n#13980845;n#13855377;
61289: v#2667228;v#2567147;n#958896;
61290: v#2567147;v#2667228;n#13980845;
61294: n#8361924;n#14441825;n#14442530;
61295: v#903212;v#1824339;v#903098;
61307: n#14423870;n#4606251;v#1566185;
61312: s#1726235;s#1248958;s#280844;
61316: n#6060845;n#14204950;a#2861206;
61317: n#6060845;n#14204950;s#195684;
61318: n#894552;n#631378;v#2561332;
61322: v#1723224;v#606093;v#2568672;
61323: v#2561332;v#606093;v#2568672;
61332: v#1894649;v#1708676;v#2099075;
61333: v#2210119;v#2108654;v#522751;
61342: n#10388440;n#10298647;n#10280130;
61343: n#10388440;n#10298647;n#10298798;
61345: n#10298647;n#10388440;n#3727274;
61346: n#10280130;n#10298482;n#10298647;
61347: n#10280130;n#10298482;n#10298647;
61348: n#10388440;n#10280130;n#3727274;
61349: n#3727274;n#10298798;n#10298482;
61350: n#10298798;n#10280130;n#3727274;
61353: v#597385;v#2539334;n#6700447;
61354: v#597385;v#2539334;n#3727274;
61372: n#9620078;n#10523519;n#10700517;
61377: n#5654362;v#2129289;v#690614;
61378: v#2163746;n#881649;v#1020005;
61380: n#6584891;n#7168131;n#13953608;
61381: v#751887;v#2441022;v#751567;
61396: s#978199;n#1680655;a#976508;
61397: n#1832167;n#1680655;s#978199;
61399: n#7516997;n#14271667;n#5751173;
61403: a#2050452;a#2790726;r#143550;
61404: n#4085181;s#202095;n#7475870;
61406: v#386715;v#716130;v#138508;
61407: n#4085181;n#13858604;n#13858270;
61409: n#13875185;n#3208556;n#3924069;
61411: n#3924069;n#13875185;n#3208556;
61419: n#5588174;n#13089631;n#4277980;
61420: n#5588174;n#4277980;n#13089631;
61424: n#6780069;n#5962602;n#1020936;
61425: s#1573238;n#3562262;n#1020936;
61426: s#1392249;s#1394180;a#1391351;
61433: v#1330676;v#1860795;v#1859221;
61435: n#4613696;n#3259505;n#17222;
61436: n#2879087;n#4980463;n#5584928;
61439: n#6355307;n#13742358;n#13740168;
61448: n#12620546;n#12621110;n#5556325;
61449: s#898488;s#2506029;s#1040752;
61452: a#927017;a#928525;a#43765;
61458: r#7015;r#71456;r#156222;
61465: v#2264601;s#1111965;s#2025274;
61466: n#14774699;n#14686913;n#14686585;
61467: r#112393;r#408205;r#408375;
61470: a#1427757;a#1106815;s#1036383;
61472: n#7435713;s#1427188;s#1102568;
61481: s#1920367;s#205295;s#580039;
61482: r#27384;r#151305;r#26571;
61487: a#1825419;s#1483677;s#2324005;
61488: n#2054036;n#2053859;n#2053720;
61490: n#3968293;n#4548771;n#3967562;
61492: n#3992703;n#609868;n#3992888;
61516: v#766418;v#2586121;v#768778;
61517: n#3662887;n#3703945;n#3663531;
61519: n#7501545;n#6200741;n#7502669;
61520: v#1776727;n#7501545;n#6200741;
61525: n#7904934;n#3581634;n#7910799;
61528: v#1774799;v#796976;n#7502980;
61533: a#212173;s#196122;s#214001;
61534: a#212173;s#196122;s#214001;
61535: a#212173;s#196122;s#214001;
61537: a#1783158;s#2056265;n#10518602;
61538: n#875246;n#5803379;n#6528783;
61539: v#672433;v#712135;v#681429;
61542: n#13111881;n#13112035;
61543: n#10122858;n#10129464;n#10485440;
61548: n#14199264;n#14199389;n#11697388;
61549: n#14892289;n#14863521;n#12191813;
61552: r#155621;r#41954;r#221583;
61553: r#155621;r#41954;r#221583;
61554: r#41954;r#155621;r#221583;
61559: n#4446276;n#3371875;n#4558478;
61562: s#963283;n#10210137;n#10150556;
61565: r#257864;s#914808;r#340133;
61568: n#6287620;v#625518;n#6294828;
61572: n#9499056;n#2164464;n#2172182;
61586: n#9614684;n#10150071;n#10770059;
61587: n#9614684;s#1888017;n#9895701;
61589: s#16005;s#601032;s#1236964;
61621: n#10625860;n#9762509;n#10767762;
61622: n#14890659;n#14890945;n#7672421;
61624: n#2782329;n#2782093;n#3541923;
61625: n#3541923;n#2782093;n#2782329;
61632: n#5533948;n#5547508;n#4428763;
61639: n#5531814;n#4531098;n#5417975;
61646: s#146693;s#2027906;a#2028263;
61652: n#4243546;n#4243941;n#4243727;
61654: n#7578093;n#8253640;n#840751;
61655: s#1002664;s#1242750;n#8504594;
61656: s#1002664;s#1242750;s#927978;
61665: n#13987905;n#13987719;n#13987423;
61666: r#221985;r#222180;n#5559256;
61667: r#221985;r#222180;n#5559256;
61668: r#221985;r#222180;n#5559256;
61669: r#221985;r#222180;n#5559256;
61734: n#5559256;n#4059701;n#8629508;
61735: n#5559256;n#2463611;n#4059701;
61736: n#5559256;n#2463611;n#4162433;
61737: n#9847010;v#2317970;v#2707681;
61740: n#13165727;n#13163250;n#13163991;
61746: n#5313535;n#5602548;v#331082;
61747: v#883226;n#7390400;n#7229747;
61748: n#4211356;v#2168555;v#2168555;
61749: v#2168555;s#1746292;s#1926654;
61750: v#2168194;v#2168555;v#312278;
61754: s#1037763;s#1381473;r#181676;
61756: s#1037763;s#1381473;r#181676;
61761: n#6762711;n#6765044;n#7223170;
61762: v#1058574;v#1033189;n#6765044;
61765: n#3685486;n#8227214;v#2651424;
61766: v#2652494;v#2651424;v#1176897;
61777: a#2311544;s#1961048;s#1239199;
61779: s#1961048;s#1239199;a#2311544;
61780: s#148078;s#61885;n#4876888;
61783: v#1114303;v#2272549;v#462092;
61784: n#7508996;n#4887129;n#7068473;
61789: n#5559727;n#5602835;n#5559256;
61790: n#4838210;n#5602548;n#11460488;
61793: v#1256600;v#1255967;v#1552519;
61801: n#10476086;n#9893600;n#9893502;
61804: n#6514093;v#1001136;n#6681551;
61810: r#112843;r#40365;n#6687701;
61813: s#1462324;n#9849598;n#10682953;
61814: n#9849598;n#7543288;n#7488340;
61815: v#348746;v#345761;v#348252;
61816: v#1626138;v#2304982;v#1627105;
61817: v#1627105;v#1626138;v#959827;
61818: n#6573600;n#10055566;n#10794014;
61819: n#9730533;a#3024647;n#9730732;
61830: v#907147;v#844298;v#910973;
61832: n#5870180;n#5870180;n#14818238;
61833: n#5870180;n#5870180;n#14818238;
61834: n#14818238;n#5870180;n#5870180;
61835: n#3081859;n#5870180;n#14818238;
61836: n#3081859;n#5870180;n#14818238;
61837: n#3081859;s#2177872;v#1461328;
61838: v#193486;v#1461328;v#1705494;
61843: v#115157;v#385385;v#161987;
61844: v#115157;v#161225;v#385385;
61846: v#115157;v#161225;v#161987;
61847: v#115157;v#385385;v#959827;
61851: v#1072262;v#1090335;v#756898;
61854: v#883226;v#2631659;v#883635;
61864: n#5120116;n#7507098;n#7305551;
61867: a#204077;a#201354;r#74407;
61869: a#204077;r#74407;a#201354;
61872: s#2419434;s#1362950;n#10519126;
61888: n#579334;n#4516874;n#5148699;
61889: n#5148699;n#13580058;n#579334;
61894: n#9738275;n#6997368;n#8372411;
61895: v#2671880;v#1183573;v#1640855;
61896: v#1816431;v#1183573;v#2671880;
61897: v#1183573;v#2671880;v#1640855;
61909: n#9997622;n#9867633;n#13406509;
61916: n#13456567;n#11444643;v#209837;
61917: n#9825413;a#3005593;s#830508;
61918: n#13660337;n#13660619;n#13660868;
61919: s#1720642;s#1976532;s#1974979;
61920: s#1720642;s#1974979;s#1976532;
61927: v#55010;n#5404336;v#981944;
61931: n#5829782;n#7491038;v#1815628;
61932: v#1815628;n#5829782;n#7491038;
61937: n#802238;n#14541852;n#14540765;
61939: n#802238;n#14540765;n#14541852;
61940: n#2112826;n#2113023;n#2084861;
61945: n#11502497;n#7363668;n#257580;
61946: n#4208936;n#257580;n#7363668;
61947: n#4208936;n#257580;n#7363668;
61948: n#11502497;n#257580;n#7363668;
61949: v#35259;n#257580;n#4208936;
61950: v#2473981;v#2474239;v#803325;
61953: n#7123870;v#862225;n#9989290;
61954: v#862225;n#7123870;n#2790550;
61959: s#1642379;s#1850862;n#10740868;
61960: s#1642379;s#1850862;n#10740868;
61961: n#855055;n#9989045;n#11674798;
61962: n#855169;n#855301;n#854876;
61968: v#1187537;v#1187740;v#1188144;
61972: v#36932;n#9336555;n#9439213;
61973: n#13931145;n#13970460;n#7499615;
61976: n#6971123;n#9676127;
61978: n#7072337;n#5211254;n#7087777;
61979: n#9347779;n#9452395;n#9355850;
61989: v#1296462;v#1290422;v#1290255;
61994: a#1725712;s#1726235;s#1257145;
61995: n#10077879;s#1726859;n#10402086;
61998: v#210647;v#620532;s#1069283;
61999: v#620532;v#210647;v#622384;
62000: v#210647;v#620532;n#2807731;
62001: v#1540232;v#2214864;v#2353752;
62005: n#1397114;n#1397497;n#1403713;
62007: n#14713120;n#14713120;n#14713120;
62011: n#12284262;n#12284665;n#12283981;
62012: n#9197815;n#9315159;n#9238294;
62013: n#12943049;n#7826653;n#7908647;
62014: n#5335971;n#5336748;n#3519981;
62017: n#2731398;n#14312172;n#3004824;
62018: n#14756200;n#13652443;n#14629149;
62019: n#12733647;n#14312172;n#1748389;
62021: n#2754656;n#5393023;n#3120198;
62024: n#2758490;n#3968886;n#14837786;
62025: n#2045369;n#2055803;n#2045864;
62032: s#1018530;v#813651;v#1147296;
62039: n#1741943;n#3325584;n#1743605;
62040: n#1743605;n#1741943;n#3325584;
62047: n#14685017;n#14877585;n#187337;
62049: n#2935017;n#3517647;n#13386614;
62051: n#2941716;n#21265;v#610374;
62054: n#11674798;n#2122948;n#2122298;
62058: n#11832671;n#7720277;n#7719839;
62059: n#14870525;n#14871078;n#14879750;
62061: n#12435152;n#7817024;n#7818572;
62062: n#12435152;n#7817024;n#7818572;
62063: n#1441272;n#2452637;n#5601357;
62066: n#2135220;n#2136103;n#2450034;
62070: n#5402091;v#457998;v#458276;
62072: n#12690046;n#3060074;n#3066743;
62078: n#2018027;n#2018368;n#10157744;
62087: n#7732747;n#11869351;n#7732904;
62088: n#9300674;n#7854455;n#9401834;
62089: r#115554;r#18302;r#18781;
62090: r#18302;r#115554;r#98714;
62091: n#2809105;v#288814;n#7655505;
62096: n#7502980;n#418787;r#27384;
62100: n#3145522;n#5829213;n#6643763;
62102: n#2084861;n#5559256;n#9983214;
62103: n#2033561;n#2033779;n#2033444;
62105: n#14202996;n#5517578;n#5512139;
62108: v#1785748;v#1781180;v#1780104;
62113: n#3202760;n#3202940;n#6831498;
62116: n#13265425;n#5624042;v#2697610;
62124: n#1853195;n#9832321;n#1853072;
62127: n#13414554;n#3118969;n#372448;
62130: n#3950228;n#494293;n#3063689;
62137: n#9281104;n#9280380;n#9341987;
62138: n#3356858;n#2900160;n#5314919;
62140: n#14869829;n#12486574;n#3672521;
62143: v#1369204;n#1176335;v#1250908;
62144: n#1176335;v#1250908;v#1369204;
62150: n#2053083;n#11793779;n#3110669;
62154: n#9288635;v#2072394;n#3595860;
62167: n#14677778;n#15062057;n#14806598;
62174: v#1247181;n#3530511;v#473572;
62176: n#3547658;n#8543223;n#3813078;
62177: n#4888703;n#6759349;n#7531536;
62178: n#4975122;n#4959230;n#6606191;
62183: n#2005790;n#2006211;n#28270;
62185: v#1444326;v#1572003;v#1227675;
62186: v#1156834;v#602255;v#2381726;
62189: n#5319936;n#9403427;n#12411922;
62224: n#7763792;n#12629666;n#12670758;
62229: n#12636224;n#7766891;n#7767002;
62230: n#7766891;n#12636224;n#7767002;
62238: n#3773970;n#3774124;n#3774461;
62247: n#5547396;n#5546540;n#3147901;
62253: n#3838899;n#3800485;n#3839172;
62254: n#2125494;n#2126465;n#3057021;
62255: n#14966530;n#13579933;n#14599806;
62258: n#14969523;v#90186;n#5581693;
62259: n#14688234;n#10271677;n#14871078;
62260: v#631737;v#689344;v#708538;
62262: n#7036862;n#6694359;n#7035870;
62264: n#6577369;n#10494643;n#2708711;
62266: a#2894741;n#5596651;n#3157348;
62272: n#9391223;n#13640866;n#5855517;
62274: n#11719286;n#3901750;n#9392656;
62283: n#2047614;
62296: n#2030035;n#1259380;n#3024746;
62304: n#7689842;n#7635155;n#7694839;
62306: n#10545792;a#2057535;n#7493830;
62307: a#2569130;n#6409562;
62308: a#2569130;n#6409562;
62309: n#12864545;n#7820497;n#10546202;
62320: n#2530421;n#7798357;n#2530999;
62326: n#15042052;n#14956325;n#14956661;
62327: n#1531512;n#7123288;n#1539573;
62333: n#7729485;n#12532168;n#7825972;
62342: n#13763185;n#186634;n#187337;
62350: n#9848110;a#2931345;n#2614978;
62351: n#5332569;n#12870392;n#12870535;
62352: n#5594367;n#5562902;n#6838975;
62353: n#14361972;n#3473966;n#7397761;
62354: n#4439585;n#5282746;n#4452848;
62356: n#2870092;n#6410904;
62388: n#7960928;n#7992222;n#8008254;
62390: n#7533877;n#14448910;n#5833683;
62395: n#4612840;n#4613158;n#4613350;
62397: n#13710443;n#6993719;n#7934678;
62400: n#15109127;n#14924915;n#14662281;
62410: v#1090335;v#2407338;v#1921772;
62411: n#4709253;n#623862;n#5686955;
62414: n#953559;n#1168961;n#1170962;
62415: v#1092366;n#1170962;v#2407338;
62419: n#621627;n#786195;n#36762;
62420: n#621627;n#786195;n#788766;
62430: v#1656788;v#2598143;v#2428924;
62441: n#6311334;n#2943241;n#3838298;
62445: n#5316025;v#2167052;n#5311054;
62453: n#3407122;n#3407369;v#394813;
62455: n#3407369;v#397192;v#396997;
62494: s#1842198;a#1924316;s#338013;
62502: n#4887912;n#4838727;n#4886646;
62504: v#1120069;n#767826;v#862683;
62513: n#2776205;n#5695232;n#13626013;
62514: v#2577877;n#2776205;n#13626013;
62515: n#9837824;n#9837720;v#2343252;
62520: n#3354903;
62529: n#2814860;n#4041930;n#7264213;
62532: n#2815950;n#3437941;n#3601840;
62543: n#11428023;n#11428379;n#2815950;
62546: n#9850760;r#273306;s#2074929;
62548: v#1127411;v#778122;v#1798287;
62552: v#1799235;v#2537407;v#936330;
62567: s#1229561;s#1252399;s#1242750;
62571: n#1211339;n#1211019;n#104249;
62584: n#9228801;v#1593614;n#68901;
62586: n#7777358;n#2563182;n#2590702;
62589: s#874226;s#32733;s#430041;
62590: n#9845589;n#15388;s#1263445;
62591: s#1263445;n#9845589;n#15388;
62593: n#1260008;n#7378234;v#2706605;
62595: n#868910;n#5802185;n#6516955;
62596: n#5802185;n#868910;n#6516955;
62597: n#5802185;n#868910;n#6516955;
62599: n#232386;n#7207142;n#6627006;
62600: n#9233715;n#2955767;n#9399592;
62608: n#5615869;n#7225167;n#4891184;
62609: v#2490877;v#2578510;v#2398956;
62613: n#9911226;n#2538406;n#3009111;
62614: n#2538406;n#3009111;v#379440;
62615: v#2771997;v#379440;n#14685172;
62616: n#14685172;v#2771997;n#14814616;
62619: n#5769314;n#9493562;n#1481498;
62629: n#5822746;n#13942875;n#14512817;
62630: n#13942875;n#14512817;n#5822746;
62631: n#5822746;n#13942875;n#14512817;
62646: n#9938991;n#10128909;n#10129133;
62648: n#6252138;n#33020;n#7279285;
62649: n#6252138;n#33020;n#7279285;
62650: n#6252138;n#33020;n#6746580;
62665: r#8007;r#157624;r#10466;
62667: n#4766275;n#14408086;n#5691144;
62668: a#696518;s#1612627;s#760473;
62669: a#696518;s#1395821;s#553478;
62675: v#722232;n#7567390;v#244625;
62696: n#7374633;n#9252586;n#1237415;
62707: n#3125729;n#8510456;n#15142452;
62708: v#407146;v#605783;v#1524298;
62709: v#1524298;v#1612295;v#407146;
62713: n#9259219;n#9472413;n#9470550;
62714: n#9259219;n#9472413;n#9470550;
62715: n#9259219;n#9472413;n#9470550;
62720: n#13905792;n#13907415;v#1277784;
62722: n#9229409;n#9654079;n#9448361;
62724: n#8547544;n#1326015;n#8617963;
62726: n#8547544;n#1326015;n#8617963;
62727: n#8547544;n#1326015;n#8617963;
62733: s#1276150;a#655779;s#684782;
62741: n#12024176;n#12024445;s#385756;
62742: n#6110091;n#6109227;
62745: n#9996784;n#9996920;n#9997068;
62747: n#9997068;n#9996920;n#9996784;
62751: n#3167666;n#3168107;n#2898711;
62754: n#3169390;n#262249;n#6706676;
62755: n#3169390;n#262249;n#6706676;
62756: n#6706676;n#3169390;n#262249;
62757: v#570524;v#226566;v#227165;
62763: v#868097;v#2706816;v#2707800;
62767: n#271263;n#14440623;n#13456715;
62773: s#1338116;s#1271961;
62775: v#813044;v#812580;s#1271961;
62790: n#364600;n#13328357;n#6717170;
62795: v#92293;v#208497;v#208210;
62797: n#7308563;n#377686;n#377364;
62803: n#7168131;n#7169480;n#7168623;
62804: n#5748285;n#870640;n#13559782;
62805: n#5748285;n#870640;n#13559782;
62808: n#5748285;n#870640;n#13559782;
62813: v#780575;v#2066304;v#2033295;
62830: n#12931542;n#7827896;n#15074772;
62833: n#13875185;n#3208556;n#3924069;
62836: n#3924069;n#3208556;n#13875185;
62838: n#4749709;n#7366627;n#7206887;
62839: n#4749709;n#7366627;n#4984698;
62840: v#197590;v#1254692;v#736216;
62844: n#7519773;n#7542675;v#1782650;
62849: n#7181935;n#1170813;n#7184149;
62850: v#775156;v#869126;n#1170813;
62856: s#2067719;s#2067491;a#1410363;
62857: n#10020366;s#1482551;n#10144338;
62886: n#13471815;n#7125958;n#7121157;
62890: n#8386555;s#2123579;n#8386365;
62891: n#8386555;s#2123579;n#10050558;
62892: r#85002;n#6741099;n#6741305;
62893: r#85002;n#6383659;v#1586850;
62896: v#1528821;v#1089423;v#1530098;
62899: s#1205473;s#1278080;s#2339120;
62900: s#1278080;s#1205473;s#2339120;
62903: v#2474239;v#2201268;v#2324478;
62907: v#662589;v#662589;v#884011;
62912: n#8568719;n#13874073;
62924: s#631798;a#21766;a#1837744;
62929: v#615774;v#807941;a#2057829;
62944: n#5944958;n#7510923;n#6024230;
62945: n#5944958;n#7510923;n#6024230;
62950: n#310063;n#945777;n#5800611;
62951: v#955601;v#1001294;v#623151;
62963: v#1351170;v#229280;v#638723;
62968: s#2544525;s#1747364;s#782216;
62974: v#23646;n#7478318;s#265989;
62975: n#754767;n#752431;n#6756407;
62980: a#993529;s#343226;s#685113;
62981: a#993529;s#343226;s#685113;
62982: s#1611329;a#993529;s#993885;
62986: v#838043;v#1721754;v#1721556;
62987: n#9935990;n#9908025;n#9945905;
62993: r#47903;r#65822;r#48138;
62996: n#14464203;n#4692157;n#70965;
62998: n#4682462;n#4694441;n#13911872;
62999: v#1531998;n#4682462;n#4681230;
63000: n#8293336;n#8292756;n#8293490;
63002: v#1037910;n#512522;n#9965134;
63004: n#7337390;n#7346057;n#195194;
63008: n#3386011;n#4340935;n#2980441;
63019: n#3387016;n#240184;n#5793554;
63020: n#3387016;n#240184;n#5793554;
63027: n#10109443;n#9769076;n#10077879;
